date,tweet
2021-02-12,congratulations tesla china for amazing execution last year now on to the next for even moregreat interviewdoge is underestimatedian alienray tracing on cyberpunk with hdr is next level have you tried ithappy new year of the ox
2021-02-13,a knowthing or two about paymentsyup banks are basically balkanized heterogeneous databases with high latency amp weak security especially ach transfers amp credit cardslil meme juice for the weekendgood analysis we re working on lowering min throttle of raptor so that there is engine redundancy throughout the landing burn
2021-02-14,would you like join me forconversation on clubhouseбыло бы большой честью поговорить с вамиsuccess on landing probability is 60 this time
2021-02-15,if major dogecoin holders sell most of their coins it will get my full support too much concentration is the only real issue imoan acceptable percentage doge is much more concentratedtemporarily lower long term raiseabsolutelyi will literally pay actual if they just void their accountsonly if necessaryyup
2021-02-16,sounds like it iscovered in snow amp ice roads mostly closed amp no power in austinyeah active fairing half recovered thoughthere will definitely bemarscoin5spacex boca team is helping save the turtlesdisturbing concentration
2021-02-17,you re rightis not earning that r
2021-02-18,yes
2021-02-19,teslaaction is not directly reflective of my opinion having some bitcoin which is simplyless dumb form of liquidity than cash is adventurous enough for anamp p500 companyspacex in south texas amp tesla in central have been providing direct assistance where feasible eg save cold turtles amp help power the water treatment plant please let us know if we may be helpful in other wayscongratulationssomehowhash text file using ancient crypto can be exchanged for real goods amp services amazingto be clearam not an investoram an engineerdoneven own any publicly traded stock besides tesla however when fiat currency has negative real interest onlyfool wouldnlook elsewhere bitcoin is almost as bs as fiat money the key word is almost
2021-02-20,that said btc amp eth do seem high loli just want to startflame in your heartavocado toastan email saying you have gold is not the same as having gold you might as well have crypto money is just data that allows us to avoid the inconvenience of barter that data like all data is subject to latency amp error the system will evolve to that which minimizes bothi just set up some little doge mining rigs with my kids it was funmost people have no idea even though there are so many fsd progress videos posted munro understood right away there will begap before the next release but then it will bestep change better tesla is solvingmajor real world ai problemjust some used antminer l3 rigs bought off ebay not really economic but it wasfun family projectjust forday
2021-02-21,why donwe have these alreadyshould wecryptocurrency explainedheardrumor some crypto coin was pegging the dollarmachine learning is so amazeor did they say pegged to the dollar something like that
2021-02-22,most of earth by end of year all by next year then itabout densifying coverage important to note that cellular will always have the advantage in dense urban areas satellites are best for low to medium population density areasspeed will double to 300mbamp latency will drop to 20ms later this yearfinal design is looking was just in the studiohypernominalizationdojo 4 dogeof spaceflightgood chance of flying this week
2021-02-23,super coolthe tesla solar roof is slightly hydrophobic so water snow or ice slide off easilyit is still available off menu butdonthink the range in many drive conditions yet meets the tesla standard of excellencelater this yearhopefully later this yeartunnelsexcessioni hope we dongo bankrupt building themjustsurface detailwe have too much product complexity already
2021-02-24,we re upgrading all nns to surround video using subnets on focal areas vs equal compute on all uncropped pixels amp many other things so more time needed to write amp validate software maybe something next week this is evolving into solvingbig part of physical world aishort term ch4 delivered amp o2 produced propellant is 78 o2 long term sabatier reaction to convert co2 h2o gt ch4 o2 using wind amp solar powerone of them may be in limited operation by end of yearinterestingthey will fly there from our launch site stationed around the worldseems likelyliterallymany steps forward some steps back yes we dolot of qa before releasingbeta versionon the actual mooni love dogs amp memespotentiallyone of the engines is suspect so we re swapping it out
2021-02-25,starship to the moonyou might see much higher download speeds on starlink at times testing system upgradesprobably mid year but starlink is really meant for those who are least served bay usually has great internetrockets are ridiculously hard sighout on launch pad engine swap underwaysounds likegood ideai admit to judging books by their covernotmeta4mean actual booksprices in the us of all goods doninclude vat but itusually included in other countries then thereimport duty amp transport costs the intent is that revenue to tesla is roughly similar in all countries so taxes tariffs amp transport make up the differenceboth3mm of full hard 301 or 304 stainless is bulletproof to9mm or 45
2021-02-26,nickel is our biggest concern for scaling lithium ion cell production thatwhy we are shifting standard range cars to an iron cathode plenty of iron and lithiumhey babei hope they do it would be awesomethis is not about winning anyone over we are production limited the reason we are making our own cells is to supplement max production of suppliers even moving at full speed they cannot build enough cellsabsolutelyfremont shut down for two days parts shortages amp restarted yesterdaynothing if not discreetwe will usecatapult amp air mattresses to land on the roof then base jump offdo androids dream of electric cars
2021-03-01,doge meme shield legendary itemalways wondered where exactly your gaming character keeps all the stuffahemnew drug coming out called regretamine pop one amp all regrets are gone
2021-03-02,note buying fsd will still bebetter long term deal than subscriptionlooks familiar haha nonetheless the right move congrats to rocket labgreen eggs amp spacq2 for suretesla china team rocks2022 dogecoin is dumbscammers amp crypto should getroomhorses are even self driving
2021-03-03,yupindeed it wascoolcreating the city of starbase texasvery much so amp its leader shall be the dogean area much larger than boca chicafrom thence to mars and hence the starsspacethere was stillsurprisingly high usage of horses in 1940 but the trend was obviousstarship launch tomorrow window opens at 9amfirstve heard of this we ll fix the situationmfan of videogood pointyou re welcomefsd beta build v8 1 normally drives me around with no interventions next version isbig step change beyond that tesla is solvingmajor part of real world ai this is not widely knownyes beta will be offered much more widely when version 9 is done hopefully next monthok letfigure this out tomorrowm all for exciting video coverage but we also canhave the place festooned with camerasmarch 3rdsounds about right but we want to be very careful with this transition period
2021-03-04,launch abort on slightly conservative high thrust limit increasing thrust limit amp recycling propellant for another flight attempt todayrip sn10 honorable discharge5 mins to starship test flight attemptspacex team is doing great work one day the true measure of success will be that starship flights are commonplacecgi irlstarship sn10 landed in one piece
2021-03-05,sn10 is in valhalla nowtesla amp ford are the only american carmakers not to have gone bankrupt out of 1000of car startups prototypes are easy production is hard amp being cash flow positive is excruciatingtesla ai both hardware amp software is deeply underestimatedcybervikings of mars
2021-03-06,was super fun tbh hahaor is this just fantasystarhopper is an old timer who has seenlot of thingsif you want the tesla full self driving beta downloaded to your car let us know doubling beta program size now with 8 2 amp probably 10x size with 8 3 still be careful but itgetting maturethis was way past leg loads they got squashed hardbeta v8 3 has literally 1000 improvements will take time to qa internally before release probably in two or three weeksdoge spelled backwards is egodthrust was low despite being commanded high for reasons unknown at present hence hard touchdown we ve never seen this before next time min two engines all the way to the ground amp restart engine 3 if engine 1 or 2 have issues
2021-03-07,due to high levels of demand for fsd beta adding download beta button to service section of car display in 10 daysavailability varies by region due to regulatory approval delays and or tesla internal development amp testing note word beta is used to reduce complacency in usage amp set expectations appropriately all software is first tested internally by tesla simulation amp qa drive teamsthe tesla fsd computer started shipping in volume in q2 2019 2020 cars should all have fsd computers whether or not ordered as an optionshould be very soon many subtle differences between us amp canada roads so harder than it seemsthe 1400 is mostly good imo ubi lite as the people get to choose how the money is spent but the rest is mostly net bad for the people aswhole though it is obviously characterized otherwiseupdate probably in q2 cybertruck will be built at giga texas so focus right now is on getting that beast built
2021-03-08,still many fine details to address but the final product will be fantastic therenothing else even closeultimately yescarnot efficiency of the universegreat band too bad they broke upitall hot air in the end hahastarbase texashaha true yet still so much dignity is ascribed to horses
2021-03-09,we will ask the regulatorsbuild 8 3 of fsd should be done qa testing by end of next week so thatroughly when download button should show upnot connecting tesla cars to starlink as our terminal is much too big this is for aircraft ships large trucks amp rvsdelamain ai cabs should be able to drive themselves when you re in them amp be electric by 2077it until you make itassuming user approves warning amp agrees to drive carefully it will download latest qa tested fsd beta build as soon as car connects to wifi
2021-03-10,i was just up there elevator on the other side floor is in glass coming soonyeah we talked about that internally could just have it land onbig net or bouncy castle lacks dignity but would work but optimized landing propellant is only 5 of dry mass so itnotgamechangerbattery energy density is the key to electric aircraft autonomy for aircraft could have been donelong time ago modern airliners are very close to autonomousmight just catch the ship with the launch tower same as boosterfair point if autogenous pressurization had been used ch4 bubbles would most likely have reverted to liquid helium in header was used to prevent ullage collapse from slosh which happened in prior flight my fault for approving sounded good at the timesn10 engine was low on thrust due probably to partial helium ingestion from fuel header tank impact of 10mcrushed legs amp part of skirt multiple fixes in work for sn11there were baffles but one may have acted likestraw to suck bubbles in from above liquid gas level something similar happened on an early falcon 1 flight resulting in unexpectedly high liquid oxygen residuals at main engine cutoff
2021-03-11,transparent aluminum alon might be coolcelebratingyear of great work by the spacex teamwowdieses jahrlike but with self driving hahaif 2021 manifest is met spacex will do 75 of total earth payload to orbit with falconsingle starship is designed to do inday what all rockets on earth currently do inyear even so 1000 starships will take 20 years to buildself sustaining city on marsyesfalcon 9 is almost always at max capacity when it has spare performance it flies back to land which costs much less than usingdroneship our fundamental constraint is mass to orbit per unit time last year spacex launched roughly double payload mass of rest of worldfuel cells should be called fool sells suchsilly choice for cars not great even forrocket upper stage imo but at least not absurd
2021-03-12,both do mining amp use blocks amp chainsbtc bitcoin is an anagram of tbc the boring company whatcoincidencequarks amp leptonsgreen flame in this context means engine is burning internal components made of copper this is usually followed byrud rapid unscheduled disassembly
2021-03-13,this magic momentyesyesfsd beta has now been expanded to 2000 owners amp we ve also revoked beta where drivers did not pay sufficient attention to the road no accidents to date next significant release will be in april going with pure vision not even using radar this is the way to real world aiabsolutelyfor sure wise for elderly or immunocompromised to take the vaccine some debate about the second jab though quitefew negative reactions to that
2021-03-14,doge day afternoonwhy are you so dogematic they askigettingshiba inujahomo sapiens techno loves raves amp technologywhat has become absolutely clear is that the plethora of self driving corner cases can only be solved with real world optical intelligence this is how humans designed the road system to work once you have that in silicon form everything else is just icing on the cakeorigin of doge day afternoon the ancient romans sacrificeddogecoin at the beginning of the doge days to appease the rage of sirius believing that the star was the cause of the hot sultry weatherwoketopia battle for the moral high ground in this new gamei love music it makes my heart singit sees in all directions simultaneouslythis is an opportunity for rh to outdo cba puckish roguefly my pretties flywe will support as best we canplay your favorite song intesla amp turn the volume to 11 you will see you will feelthis is goodfalcon flies for the 9th time tonight
2021-03-15,spacex did 2x rest of world payload to orbit last year probably 3x to 4x this yearyesiselling this song about nfts as an nft
2021-03-16,420m doge
2021-03-17,sn11 almost ready to flyactually doesnfeel quite right selling this will passthatour goalcgi irl
2021-03-18,aspirationally acerbic alliteration gt bullshit baffles brainsthe simulation really struggled to make this look real haha
2021-03-19,we will need launch tower for that hook height for the lift is 140amp both booster amp ship need to be stabilized at stage separation jointhahasometimes itabout dogefirst super heavy boosteryes booster 1 isproduction pathfinder figuring out how to build amp transport 70 meter tall stage booster 2 will flythe high bay is measured to fitcoming soonwhat would you like to talk aboutwe could talk about life the universe and everythingthe ahem reach aroundas you can seehavelong history with using tentsfloor is installed elevator is operational waiting on glass
2021-03-20,sighi actually ate the sandwich hahaпреступленіе и наказаніеan orbital propellant depot optimized for cryogenic storage probably makes sense long termmusic in zero gravitygiven significant architectural changes including fundamental improvements to pure vision there is limited value to testing 8hoping to upload v9 0 amp button next month
2021-03-21,this is importantwow hard to believe that was 17 years agoyeah butm englishnot trying to roast just being as literal as possiblei am accumulating resources to help make life multiplanetary amp extend the light of consciousness to the starstruewhen vast amounts of manufacturing are needed as in robotaxis this slows down rate of introduction so maybe more like winner takesquarter still greatnot quite howwould tell the story but itprobably worthread
2021-03-22,hopefully will happen this decadegoing well lot of work for an extra 20 secs of isp
2021-03-23,i once didroad trip across most of us with 2 adults amp 5 kids inmodel she was great on many levelsstrongest argument against aliensspacex will be landing starships on mars well before 2030 the really hard threshold is making mars base alpha self sustainingthey are aiming too low only rockets that are fully amp rapidly reusable will be competitive everything else will seem likecloth biplane in the age of jetsthe new plaidis our best car ever will be first production car to achieve 0 60mph in under 2 secs amp it has four doors amp seats up to 7 peoplespacex is developing rockets needed to make life multiplanetary full amp rapid reusability at large scale even if spacex fails in that goal the rockets will still be most advanced on earth starlinkpurpose is to provide internet to the least served amp to pay for mars
2021-03-24,pay by bitcoin capability available outside us later this yeartesla is using only internal amp open source software amp operates bitcoin nodes directly bitcoin paid to tesla will be retained as bitcoin not converted to fiat currencyyupand books hahayou can basically learn anything on youtube reddityou can now buytesla with bitcoin
2021-03-25,wow shame on zdf infoyou raisegood point hahafair pointdondefy defithis comment thread isif thereeverscandal about me please call it elongatethere will be no handlesmars rover looking back
2021-03-26,1 2 this article is falsearrived by myself in canada in 89 with ca 2500 paid my own way through college ending with 100k student debt started 1st company with no funding amp just one computerbuilt thereno evidence whatsoever of an emerald minesolar has comelong way now just needs lots of long life batteriesshame on you onion this is why people are switching to2 2 my father amp his extended family have been dependent on financial support from my brother amp me for over 20 years this article is actually accuratei think there isgt 0 chance tesla could be the biggest companyheavy comes in more likejavelin similar to falcon 9 but caught by the tower vs landing on legshaha
2021-03-27,great videothis is crazy should use tesla megapacks for load leveling the grid more effective more reliable and costs lesshaha actually truestanding down sn11 until probably monday additional checkouts are needed doing our best to land amp fully recoverthis appears to be widespreadwonder who is doing itcheck out our new cranewe are too cell constrained right now but probably ok next year
2021-03-28,sounds about rightwholesome memesitnot really possible to match the human brain in 2021 for any amount of money imo but it will be possible probably infew yearsi wanna know when ai will be able to do standup comedy wellwho ispossible starship flight tomorrow afternoonnicewe should be laughing our asses off if itso damn smarttrying
2021-03-29,faa inspector unable to reach starbase in time for launch today postponed to no earlier than tomorrow
2021-03-30,more like v10 0tracking topotential 8am liftoffdemand is no problem but near term cell supply makes it hard to scale semi this limitation will be less onerous next yearat least the crater is in the right placelooks like engine 2 had issues on ascent amp didnreach operating chamber pressure during landing burn but in theory it wasnneeded something significant happened shortly after landing burn start should know what it was once we can examine the bits later todaysn15 rolls to launch pad infew days it has hundreds of design improvements across structures avionics software amp engine hopefully one of those improvements covers this problem if not then retrofit will addfew more daysnext major technology rev is at sn20 those ships will be orbit capable with heat shield amp stage separation system ascent success probability is high however sn20 vehicles will probably need many flight attempts to survive mach 25 entry heating amp land intactam donating 20m to cameron county schools amp 10m to city of brownsville for downtown revitalization details to follow next weekplease consider moving to starbase or greater brownsville south padre area in texas amp encourage friends to do so spacexhiring needs for engineers technicians builders amp essential support personnel of all kinds are growing rapidlythat would be great or possibly via video with full access to telemetryprobably most in space you could possibly feel by being inglass domeagreed we re not super far as magic valley utility can give us almost all wind power which will be used for lox 78 of propellant mass n2 argon distillation we re also aiming to increase solar power from 1mw to 10mw paired with tesla megapacks for continuous poweri sure hope sostarbase will grow by several thousand people over the next year or twobn1 ismanufacturing pathfinder so will be scrapped we learnedlot but have already changed design to bn2 goal is to get bn2 with engines on orbital pad before end of april it might even be orbit capable if we are luckya high production rate solves many ills
2021-03-31,barelyscratch back on the stand soon will report conclusions as soon as we know themcan belittle foggy sometimesover 10 000 people are needed for giga texas just through 2022 5 mins from airport 15 mins from downtown right on colorado river
2021-04-01,after all spacexfirst payload to orbit amp back waswheel of cheeseglad you enjoyed the experiencetruenicheman his superpower is appealing to small audiencesspacex is going to putliteral dogecoin on the literal moon
2021-04-02,major new supercharger station coming to santa monica soon hoping to have 50diner amp 100 best movie clips playing too thanks santa monica city
2021-04-03,truei friedlot of neurons on that problemhad no money to invest in zip2 but my founder equity yielded 15m after tax of thatrolled 10m into paypal which yielded 180m then basic principle is thatwould not ask investors to risk money on my company ifwould not also do some in my sick new car left him the money
2021-04-04,thisgood path butrecommend aiming for full reusabilityurgent need to build more housing in greater austin areaaustinno it doesnhurt at all
2021-04-05,one of the greatest thingsve ever seenthe starships feast in valhallahaha falcon neingodzilla vs kong is so amaze much wow most insane movieve ever seen love letter to conspiracy theorists and yet heartwarming in the endlast kingdom vs vikingsfor practical purposes there is no limit it will just get increasingly difficult to servicei recommend propulsive landing as that is extensible to planets moons amp asteroids wings amp runways are limited to earthascent phase transition to horizontal amp control during free fall were goodrelatively small ch4 leak led to fire on engine 2 amp fried part of avionics causing hard start attempting landing burn in ch4 turbopump this is getting fixed 6 ways to sundayobvthose two really could have come in handy for the stuck shipthe earth is not flat ita hollow globe amp donkey king lives therenicegreat work by tesla teamich habe ein semester deutsch an der universität studiert uswspecial mention of tesla chinanew amp improved version
2021-04-06,what do you think of the unusually high ratio ofampmarket cap to gdpsome kind of elo level updated once or twiceyear based on what someone actually got done might be most effective important that it go both up and downtanks for the memery panzer of the lake
2021-04-07,coming soon crazy number of launches this yearideal scenario imo is catching starship in horizontal glide with no landing burn although that is quitechallenge for the tower next best is catching with tower with emergency pad landing mode on skirt no legsstarship booster largest flying object ever designed will be caught out of sky by launch tower big step forward as reflight can be done in under an hourwell written and fair much like his articles on spaceniceglobal payload to orbit is the key metricneeds legs for moon amp marsthey will be recovered from the water amp reused
2021-04-08,latterprobablyampbut biontech amp moderna are good too some debate imo as to whethersecond synthetic mrna shot is really needed but the first isno brainera tidal wave of vaccine is being producedthanks tesla suppliers for providing us with critical partsto be cleardo support vaccines in general amp covid vaccines specifically the science is unequivocal in very rare cases there is an allergic reaction but this is easily addressed with an epipen
2021-04-09,looking at pups soonmonkey plays pong with his mindsurehopefully later this yearshock absorption is built into tower arms since tower is ground side it can uselot more mass to arrest booster downward momentumyeslater versions will be able to shunt signals from neuralinks in brain to neuralinks in body motor sensory neuron clusters thus enabling for example paraplegics to walk againabsolutely doable possibly as soon as neuralink device version 2 highly likely by version 3the device is implanted flush with skull amp charges wirelessly so you look amp feel totally normalfirst product will enable someone with paralysis to usesmartphone with their mind faster than someone using thumbsload points just below the grid finsyesjust one skyscraper catching another nbd hahapretty much great episodesimulation is improving rendering resolutiona monkey is literally playingvideo game telepathically usingbrain chipsoon our monkey will be on twitch amp discord hahapretty muchyeahjust read it book is accuratecongrats to nio that istough milestoneremoveit willgood piecethanks to all that helped spacexcomes with wireless charging baseball capalmost ready with fsd beta v9 0 step change improvement is massive especially for weird corner cases amp bad weather pure vision no radar
2021-04-10,actually happened to me in cyberpunk hahai feel like this sometimesturns out love video games amp snacks just like usyupgood point next major software rev will do much better with automating wipers seat heating amp defrost probable seat settings just based on occupant mass distribution should be possiblewhere is shrek 5pretty muchgoing to moon very soonitall about the cufflinksthe starship launch tower that catches the giant rocket booster is basically mechazillajust needs some legsthis ismajor problemwhen radar and vision disagree which one do you believe vision has much more precision so better to double down on vision than do sensor fusionsensors arebitstream and cameras have several orders of magnitude more bits sec than radar or lidar radar must meaningfully increase signal noise of bitstream to be worth complexity of integrating it as vision processing gets better it just leaves radar far behindthese things are best thought of as probabilities there are 5 forward facing cameras it is highly likely that at least one of them will see multiple cars aheadpretty muchkong vs godzilla has record for most meth ever consumed inwriterroomgood threadbut wait how is the core of the earth lit by the sun stop asking questions
2021-04-11,due to lower gravity you can travel from surface of mars to surface of earth fairly easily withsingle stage rocket earth to mars is vastly harderblimps rockthat rocket ishardcore veteran of many missionsnope hahathe art in cyberpunk is incredibletrust the shrublove this beautiful shotfor now costs are decreasing rapidlyif you donsay anything amp engage autopilot it will soon guess based on time of day taking you home or to work or to whaton your calendar
2021-04-13,tesla is building up collision repair capability to help address the grief that you went through but usually insurance companies make you go their approved collision repair partners tesla insurance will make it smooth sailing
2021-04-14,true ancient times had to flip cpu registers explicitly as computer was so slowabsolutelythat was my night job day job was working on ruthenium tantalum ultracapacitors at pinnacle researchthat version of falcon 1 never flew so must be 2004 the cad looks so simplethink we were still using solidworks back thengetting theremaybe itabout how you use it69th raptor engine coming soonyeah not scalable my grad student idea was to try to use advanced chip making equipment to create high energy density capacitors accurate to molecular level
2021-04-15,will investigatei found some footage of the driveinsanely cutehopefully addressed this summerbutton timing of may is aspirational depends on how well limited beta of v9 0 goes butwould be surprised if wide beta aka button is later than june fsd subscription next month issure thingwhile perhaps obvious in hindsight it turns out that the only way to solve self driving is to solvebig part of real world ai that is what tesla is doing both in hardware amp software unlesscompany is good at ai with tight compute ithopeless this is insanely hardsame timingmajor improvements are being made to the vision stack every week beta button hopefully next month this ismarch of 9trying to get probability of no injury above 99 999999 of miles for city driving production autopilot is already above that for highway drivingstop in the name of loveaiming to launch next weekactually yes and red rocket truck stopsoon it will be real𖨆le petit princetesla ai autopilot engineering is awesome making excellent progress solving real world aidoge barking at the mooncertainly one of the largestcompany whose name rhymes with shmoogle is pretty far ahead butthink we re the leader in shallow minded ai hahaone of many reasons that we need to make life multiplanetaryprobably late julydoge barking at the moon miro
2021-04-16,this is accurate service uptime bandwidth amp latency are improving rapidly probably out of beta this summeraustin rockssame with berlini was just there driving cybertruck around the site where it will be builtmake life multiplanetaryyeah should be fully mobile later this year so you can move it anywhere or use it on an rv or truck in motion we needfew more satellite launches to achieve compete coverage amp some key software upgradeslimited production of modelthis year high volume next year
2021-04-17,we are honored to be part of the teamif we make life multiplanetary there may comeday when some plants amp animals die out on earth but are still alive on marseverything to the moonnasa rulesdragon spacecraft amp falcon 9 rocketgreat progress by tesla teamgreat review neuralink is open to working with neuroscientists to advance the field short term goal is addressing brain amp spine problems ultimate goal is symbiosis of human amp machine intelligence
2021-04-18,essentially passive autopilot car intervenes only when crash probability is high cuts crashes in half active autopilot car is driving itself cuts crashes in half again doesnmean there are no crashes but on balance autopilot is unequivocally saferpassive autopilot sometimes called active safety comes standard on all teslastesla with autopilot engaged now approaching 10 times lower chance of accident than average vehicle
2021-04-19,support for humanityfuture in space is super appreciated letmake the sci fi future we want real
2021-04-20,awesomehaha truenew fsd rendering approach coming that better represents nn probability vector spacenhtsa is greatexactlyyour research asprivate individual is better than professionals data logs recovered so far show autopilot was not enabled amp this car did not purchase fsd moreover standard autopilot would require lane lines to turn on which this street did not havehell ofcoincidence haha
2021-04-21,cgi irli could getjob just not at an internet company werenmany back thensandy munro knows what hetalking about
2021-04-22,newest units can probably do as much as 10kw continuous amp double that in peak power at 30c ambient temp in house power vernacular this translates to 80lra soft start of 3 5 ton hvac two powerwalls would double this three would triple etcstarting next week tesla solar panels amp solar roof will only be sold as an integrated product with tesla powerwall batterytruepowerwall 2 peak amp steady power capability is better than advertised now that we have lots of operational data tesla can unlock higher capabilities for free via software update next month depending on production date power increase power may be gt 50 at 30c ambient tempvery important most people donknow this wind is also super cheap especially when paired with batteriessolar power will feed exclusively to powerwall powerwall will interface only between utility meter amp house main breaker panel enabling super simple install amp seamless whole house backup during utility dropoutstesla solar powerwall battery enables consumers to be their own utilitydoes seemlittle weirddid you buypowerwall utility permission is required for flowing electricity back to grid but usually not if stored in our battery this also enables 24 7 electricity security for your home utility permission is still needed for when powerwall is full amp can stabilize gridif tesla owners are conspiracy theorists then it would be fair to call them advertising salespeople masquerading as truthtellers if thatan unfair criticismsimple rebuttal would be to show their articles per fatality for all automakers tesla is 0 02 of deaths
2021-04-23,hahahaha truehappy earth dayastronauts preparing to launch toistaying atfriendplace in florida that is 85 powered by tesla solar roof powerwall when grid power goes down air conditioning automatically turns off in some of the house computers amp lights doneven flicker owner says he doesnnoticeyup2 mins to launchthis is importantthis is the essence of my philosophyabsolutelyyeah
2021-04-24,what does the future hodldefine beautylies can be beautiful
2021-04-25,letfind out just how live saturday night live really isyupso awesomeam hosting snl on may 8
2021-04-26,we just got approval to opennew supercharger station in malibutrue the opposite in factprovide financial support to my parentsan advantagedid have is that my father istalented electrical amp mechanical engineer sowas taughtlot engineering without appreciating it at the time
2021-04-27,seems quite likely at least based on revenue in 2022 amp possibly total units in 2023starship sn15 static fire completed preparing for flight later this weektrueyesno you do nothave not sold any of my bitcoin tesla sold 10 of its holdings essentially to prove liquidity of bitcoin as an alternative to holding cash on balance sheetyeah roughly 200mw km 2 using currently available solar panels whatreally amazing is that you can store all energy needed to powercontinent overnight with 1 square kilometer of stacked tesla megapackscanget it up to orbit lol
2021-04-28,they have an important role to play in protecting the public from getting swindled but are sometimes too close to wall st hedge funds imo strange that they arentaking more action on some of the spacsfcc is fair amp sensible nhtsa amp faa too 99 9 of the timeagree with regulators on rare occasions we disagree this is almost always due to new technologies that past regulations didnanticipatetesting header tanks all good so faryesyupother companies spend money on advertising amp manipulating public opinion tesla focuses on the producttrust the peopleromeo juliet fish tank scenedid my heart love till now forswear it sight forne er saw true beauty till this nightthe dogefather snl may 80 so farstarship is literally more pointy because of that movie hahacooli find it more helpful to read follow individual journalists rather than publications any given publication is going to have wide range of views albeit vast majority of stories about any subject are negative perhaps reflecting innate human biases citizen journalism ftw
2021-04-29,probably two weeksmight be something there hahabest selling by revenue in 2022 possibly by unit volume in 2023sorrygood technical analysisyesgating factor is achieving amp proving higher safety with pure vision than with vision radar we are almost there fsd beta v9 0 will blow your mindand hopefully eu this summerhopefully later this year for several more states insurance is different for almost every state in america amp regulatory approvals take timeprobablyfew months there are many subtle differences between us amp canada drivingexactly
2021-04-30,true anyone paying attention to the rate of improvement will realize that tesla autopilot fsd is already superhuman for highway driving amp swiftly getting there for city streetsi swear canada fsd beta will be as soon as humanly possiblefsd display v9 0 will show actual probability distribution of objects true mindeye of the neural net this is so coolwas using this in my car last nightexactlya major part of real world ai has to be solved to make unsupervised generalized full self driving work as the entire road system is designed for biological neural nets with optical imagers
2021-05-02,irony man defeats villains using the power of ironywoke james bond snl may 8definitelythrowing out some skit ideas for snl what shoulddobaby shark amp shark tank merge to form baby shark tanki love art deco
2021-05-03,hahaone of many reasons why we need larger amp more advanced rocketsa remarkable junction in historyprototypes are easy production is hardso great to see the happy facesrawlinson was never chief engineer he arrived after modelprototype was made left before things got tough amp was only ever responsible for body engineering not powertrain battery software production or design
